"Story","Title","Result","Date","Stability","Duration (s)"
"Add a user with your information","add a new user","SUCCESS","2025-04-23T08:24:36.3094461-05:00[America/Bogota]","0.0","16.84"
"find a user information","find a user valid","SUCCESS","2025-04-23T08:24:36.1962593-05:00[America/Bogota]","0.0","12.33"
